,brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,graphics_coprocessor,rating,price,wifi & bluetooth,backlit keyboard,anti-glare,fingerprint,hd audio
3971,Dell,XPS9510,15.6,Silver,512.0,Intel Core i7,16.0,Windows 10,Dedicated,Unknown,,2810.99,1,0,0,0,0
3972,Dell,Latitude7420,14.0,Black,256.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,1056.99,1,0,0,0,0
3973,Dell,Inspiron3511,15.6,Black,4000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,1037.99,1,0,0,0,0
3976,Dell,Latitude5520,15.6,Black,2000.0,Intel Core i5,32.0,Windows 11,Integrated,Unknown,,1865.99,1,0,0,0,0
3979,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
3980,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
3981,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
3987,Dell,Latitude3520,15.6,Black,1000.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,953.82,1,0,0,0,0
3988,Dell,Inspiron3511,15.6,Black,500.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,645.99,1,0,0,0,0
3989,Dell,Latitude7420,14.0,Black,512.0,Intel Core i7,16.0,Windows 11,Integrated,Unknown,,801.99,1,0,0,0,0
3991,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,693.99,1,0,0,0,0
3992,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
3993,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
3994,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
3995,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
3996,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
3997,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
3998,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,599.99,1,0,0,0,0
3999,Dell,Latitude3520,15.6,Unknown,512.0,Intel Core i7,20.0,Windows 10,Unknown,Unknown,,1667.99,0,0,0,0,0
4000,Dell,Latitude5420,14.0,Black,512.0,Intel Core i7,8.0,Windows 10,Integrated,Unknown,,807.99,1,0,0,0,0
4001,Dell,Latitude5420,14.0,Black,256.0,Intel Core i5,8.0,Windows 10,Integrated,Unknown,,765.75,1,0,0,0,0
4003,Dell,Precision7560,15.6,Silver,256.0,Intel Core i7,32.0,Windows 11 Pro,Integrated,Unknown,,2102.99,1,0,0,0,0
4004,Dell,Latitude5520,15.6,Black,128.0,Intel Core i7,16.0,Windows 11 Pro,Integrated,Unknown,,1690.99,1,0,0,0,0
4005,Dell,Vostro3510,15.6,Black,256.0,Intel Core i5,16.0,Windows 11 Pro,Integrated,Unknown,,713.99,1,0,0,0,0
4007,Dell,Vostro3510,15.6,Black,2000.0,Intel Core i5,32.0,Windows 11 Pro,Integrated,Unknown,,877.99,1,0,0,0,0
4008,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
4009,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
4010,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
4011,Dell,Latitude5520,15.6,Black,1000.0,Intel Core i5,8.0,Windows 11 Pro,Integrated,Unknown,,931.3,1,0,0,0,0
4012,Dell,Vostro3510,15.6,Black,512.0,Intel Core i5,12.0,Windows 11 Pro,Integrated,Unknown,,732.99,1,0,0,0,0
4013,Dell,Vostro3510,15.6,Black,128.0,Intel Core i3,8.0,Windows 11 Pro,Integrated,Unknown,,691.99,1,0,0,0,0
4014,Dell,Latitude3520,15.6,Unknown,1000.0,Intel Core i7,20.0,Windows 11 Pro,Unknown,Unknown,,1626.99,0,0,0,0,0
4015,Dell,Latitude5320,13.3,Black,256.0,Intel Core i5,8.0,Windows 10 Pro,Integrated,Unknown,,739.99,1,0,0,0,0
