,brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,graphics_coprocessor,rating,price,wifi & bluetooth,backlit keyboard,anti-glare,fingerprint,hd audio
0,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
1,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
2,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
12,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
13,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
14,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
27,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
28,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
29,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
30,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
31,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
33,HP,Chromebook,14.0,Gray,64.0,Celeron,4.0,Chrome OS,Integrated,Integrated,3.8,209.99,0,0,0,0,0
35,Dell,Inspiron,15.6,Black,1000.0,Celeron,16.0,Windows 11,Integrated,Unknown,4.1,439.0,0,0,0,0,0
41,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
42,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
43,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
55,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
56,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
57,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
58,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
59,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
62,Lenovo,Chromebook,11.6,Black,32.0,MediaTek MT8183,4.0,Chrome OS,Integrated,Unknown,4.3,114.74,0,0,1,0,0
69,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
70,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
71,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
74,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,16.0,Windows 11,Integrated,Integrated,4.1,553.0,0,0,1,0,0
75,Dell,Latitude,14.0,Black,512.0,Intel Core i7,16.0,Windows 10 Pro,Integrated,Unknown,4.0,399.0,0,0,0,0,0
77,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
78,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
79,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
80,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
81,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
87,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
91,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
92,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
93,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
101,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
102,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
103,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
104,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
105,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
109,Lenovo,Ideapad,15.6,Gray,256.0,Intel Core i3,8.0,Windows 11,Integrated,Unknown,4.3,429.0,0,0,0,0,0
114,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
115,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
116,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
127,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
128,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
129,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
130,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
131,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
132,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
134,HP,Chromebook,16.0,Gray,32.0,AMD A Series,4.0,Chrome OS,Dedicated,Unknown,4.3,94.98,0,1,0,0,0
136,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
139,Dell,Latitude5000,14.0,Black,512.0,Intel Core i5,16.0,Windows 11 Pro,Dedicated,Unknown,4.8,1666.4,0,0,1,0,0
142,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
143,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
144,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
146,HP,Unknown,14.0,Gold,64.0,Celeron,8.0,Windows 11,Unknown,Integrated,4.1,299.0,0,0,0,0,0
153,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
154,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
155,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
156,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
157,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
167,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
168,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
169,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
179,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
180,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
181,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
182,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
183,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
186,HP,Pavilion,14.0,Gold,256.0,Intel Core i5,8.0,Windows 11,Integrated,Unknown,4.5,514.99,0,0,0,1,0
188,HP,Unknown,15.6,Silver,1000.0,Intel Core i3,32.0,Windows 11,Integrated,Integrated,4.7,579.99,0,0,0,0,0
190,Lenovo,Ideapad,15.6,Gray,256.0,Intel Core i5,12.0,Windows 11,Integrated,Unknown,4.3,561.99,0,0,0,0,0
192,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
193,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
194,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
200,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
201,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
202,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
203,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
204,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
211,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
212,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
215,Dell,Latitude,15.6,Unknown,256.0,Intel Core i5,8.0,Windows 11 Pro,Integrated,Integrated,5.0,748.47,0,0,1,0,0
216,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
217,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
223,Dell,Latitude5530,15.6,Gray,1000.0,Intel Core i5,32.0,Windows 11 Pro,Integrated,Integrated,5.0,939.99,0,0,0,0,0
224,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
225,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
229,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
230,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
233,Samsung,Chromebook,12.2,Gray,32.0,Celeron,4.0,Chrome OS,Integrated,Unknown,4.5,447.95,0,0,0,0,0
235,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
236,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
240,Dell,Latitude,15.6,Unknown,512.0,Intel Core i7,16.0,Windows 11 Pro,Integrated,Unknown,5.0,1428.96,0,0,0,0,0
241,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
242,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
250,Dell,Inspiron,15.6,Black,1000.0,Intel Core i7,32.0,Windows 11,Integrated,Unknown,,949.99,0,0,0,0,0
251,HP,Chromebook,14.0,Silver,32.0,Celeron,4.0,Chrome OS,Integrated,Unknown,4.5,150.0,0,0,0,0,0
254,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
255,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
256,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
262,Lenovo,Unknown,14.0,Unknown,512.0,Intel Core i5,16.0,Windows 11,Integrated,Integrated,3.8,689.0,0,1,0,1,0
263,Dell,Latitude7000,13.3,Unknown,512.0,Intel Core i5,16.0,Windows 11,Dedicated,Integrated,4.6,1680.56,0,0,1,0,0
265,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
266,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
267,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
268,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
269,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
274,HP,Pavilion,15.6,Blue,1000.0,Ryzen 7,32.0,Windows 11,Integrated,Integrated,4.1,732.0,0,0,0,0,0
275,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
276,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
277,Lenovo,Ideapad3,15.6,Gray,128.0,Celeron,4.0,Windows 10,Integrated,Unknown,4.1,185.95,0,0,0,0,0
281,Dell,Latitude,15.6,Unknown,512.0,Intel Core i7,16.0,Windows 11 Pro,Integrated,Unknown,,1499.99,0,0,0,0,0
284,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
285,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
286,Lenovo,Unknown,16.0,Unknown,1000.0,Intel Core i7,16.0,Windows 11,Integrated,Integrated,4.8,849.0,0,1,0,1,0
292,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
293,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
294,Dell,Inspiron,15.6,Unknown,1000.0,Intel Core i5,32.0,Windows 11 Pro,Integrated,Integrated,5.0,689.65,0,0,0,0,0
298,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
299,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
307,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
308,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
314,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
315,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
316,Dell,Latitude5000,14.0,Gray,512.0,Intel Core i7,16.0,Windows 10 Pro,Dedicated,Unknown,4.8,1658.99,0,0,1,0,0
320,Dell,Latitude,15.6,Unknown,512.0,Intel Core i7,16.0,Windows 11 Pro,Integrated,Integrated,,1109.18,0,0,1,0,0
321,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
322,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
325,Dell,Latitude5530,15.6,Black,512.0,Intel Core i7,16.0,Windows 11 Pro,Integrated,Unknown,5.0,1349.99,0,1,0,0,0
326,Dell,Latitude3000,14.0,Black,256.0,Intel Core i5,8.0,Windows 10 Pro,Dedicated,Unknown,3.9,835.85,0,0,1,0,0
327,Asus,Chromebook,12.0,Gray,32.0,MediaTek MT8183,4.0,Chrome OS,Integrated,Integrated,4.2,278.97,0,0,0,0,0
328,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
329,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
330,Dell,XPS159520,15.6,Unknown,512.0,Intel Core i7,16.0,Windows 11 Pro,Dedicated,Mid-range GPU,4.8,1576.57,0,0,0,0,0
333,HP,Unknown,14.0,Gold,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,3.3,729.99,0,0,0,0,0
336,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
337,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
341,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
342,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
351,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
352,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
353,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
362,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
363,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
364,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
368,Dell,Latitude,15.6,Unknown,256.0,Intel Core i5,16.0,Windows 11 Pro,Integrated,Unknown,,1038.43,0,0,0,0,0
369,Lenovo,Unknown,16.0,Unknown,2000.0,Intel Core i5,40.0,Windows 11,Integrated,Integrated,4.7,1799.0,0,1,0,1,0
370,Lenovo,Unknown,14.0,Unknown,512.0,Intel Core i7,8.0,Windows 11 Pro,Integrated,Unknown,,922.55,0,0,0,0,0
371,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
372,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
373,Apple,Unknown,15.6,Unknown,4000.0,Unknown,96.0,Mac OS,Integrated,Unknown,,5299.0,0,0,0,0,0
376,Dell,Inspiron,15.6,Unknown,512.0,Intel Core i5,16.0,Windows 11 Pro,Integrated,Integrated,4.7,649.0,0,0,1,0,0
379,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
380,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
389,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
390,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
391,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
392,HP,Pavilion,14.0,Blue,256.0,Intel Core i3,8.0,Windows 11 S,Integrated,Integrated,5.0,428.45,0,0,0,0,0
394,Acer,Chromebook,11.6,Black,1000.0,AMD A Series,20.0,Chrome OS,Integrated,Integrated,4.4,139.0,0,0,0,0,0
396,Dell,Latitude,14.0,Unknown,256.0,Intel Core i5,16.0,Windows 11 Pro,Integrated,Unknown,3.9,691.53,0,0,1,0,0
397,Apple,Unknown,13.6,Gray,1000.0,Unknown,16.0,Mac OS,Integrated,Unknown,,2778.0,0,0,0,0,0
398,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
399,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
400,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
404,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
405,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
409,Dell,XPS159520,15.6,Silver,4000.0,Intel Core i7,64.0,Windows 11 Pro,Dedicated,Unknown,,2013.5,0,1,0,1,1
411,Dell,XPS159520,15.6,Silver,1000.0,Intel Core i7,32.0,Windows 11 Pro,Dedicated,Unknown,2.3,1689.18,0,1,0,1,1
412,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
413,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
414,Dell,Latitude9000,14.0,Gray,512.0,Intel Core i7,16.0,Windows 10 Pro,Dedicated,Integrated,3.6,1029.99,0,0,0,0,0
415,HP,Pavilion,14.0,Unknown,128.0,Ryzen 3,8.0,Windows 11,Integrated,Integrated,4.3,313.0,0,0,1,0,0
419,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
420,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
426,Dell,Latitude5000,15.6,Gray,256.0,Intel Core i5,16.0,Windows 10 Pro,Dedicated,Unknown,,1169.99,0,0,1,0,0
427,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
428,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
434,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
435,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
437,Dell,Alienwarem18,18.0,Black,1000.0,Intel Core i9,32.0,Windows 11,Integrated,High-end GPU,,2929.99,0,0,0,0,0
439,Asus,Chromebook,17.3,Unknown,32.0,Celeron,4.0,Chrome OS,Integrated,Integrated,4.0,259.99,0,0,0,0,0
440,Dell,Latitude3000,14.0,Black,256.0,Intel Core i5,8.0,Windows 10 Pro,Dedicated,Unknown,5.0,899.0,0,0,1,0,0
441,Acer,Unknown,17.3,Unknown,256.0,Unknown,8.0,Windows 10,Integrated,Unknown,3.5,493.49,0,0,0,0,0
443,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
444,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
452,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
453,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
454,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
455,Dell,Inspiron,15.6,Black,1000.0,Ryzen 5,32.0,Windows 11,Integrated,Integrated,4.3,548.0,0,0,0,0,0
456,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
457,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
459,HP,Pavilion,17.3,Silver,512.0,Intel Core i5,8.0,Windows 11,Integrated,Unknown,4.9,639.99,0,1,0,0,0
